watch_id,model,year,bracelet,source,source_record_id,source_page,image_url,provenance,geometry_status,notes
GEN-BLNR-011,126710BLNR,,Oyster,SwissWatchExpo,stock-68408,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-bezel-steel-mens-watch-126710-68408/,,certified_authentic_actual_watch_photos,source_selected,front-view gallery confirmed; independent serial
GEN-BLNR-012,126710BLNR,,Oyster,SwissWatchExpo,stock-61912,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-bezel-steel-mens-watch-126710-box-card-61912/,,certified_authentic_actual_watch_photos,source_selected,front-view gallery confirmed; independent listing
GEN-BLNR-013,126710BLNR,,Oyster,SwissWatchExpo,stock-63118,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-bezel-steel-mens-watch-126710-box-card-63118/,,certified_authentic_actual_watch_photos,source_selected,multiple frontal actual-watch photos confirmed
GEN-BLNR-014,126710BLNR,,Oyster,SwissWatchExpo,stock-75711,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-steel-batman-bezel-mens-watch-126710-75711/,,certified_authentic_actual_watch_photos,source_selected,front-view gallery confirmed
GEN-BLNR-015,126710BLNR,2023,Oyster,BobsWatches,sku-192608,https://www.bobswatches.com/pre-owned-rolex-gmt-master-ii-batman-ref-126710blnr-oyster-bracelet.html,,Watch_CSA_certified_actual_listing,source_selected,multiple actual-watch images indexed; direct frontal image to pin
GEN-BLNR-016,126710BLNR,2026,Oyster,BobsWatches,sku-191089PL,https://www.bobswatches.com/pre-owned-rolex-gmt-master-ii-batman-ref-126710blnr-black-dial.html,,dealer_states_100_percent_authentic,source_selected,independent 2026 watch; direct frontal image to pin
GEN-BLNR-017,126710BLNR,2022,Oyster,DavidSW,sku-43242,https://davidsw.com/shop/watch/rolex/rolex-126710blnr-gmt-master-ii-on-oyster-24/,,dealer_listing_box_card,source_selected,independent SKU; JS gallery direct image to pin
GEN-BLNR-018,126710BLNR,,Oyster,DavidSW,sku-45534,https://davidsw.com/shop/watch/rolex/rolex-126710blnr-gmt-master-ii-on-oyster-33/,,dealer_listing_box_card,source_selected,independent SKU; JS gallery direct image to pin
GEN-BLNR-019,126710BLNR,2021,Oyster,DavidSW,sku-46199,https://davidsw.com/shop/watch/rolex/rolex-126710blnr-gmt-master-ii-on-oyster-41/,,dealer_listing_box_card,source_selected,independent SKU; JS gallery direct image to pin
GEN-BLNR-020,126710BLNR,2022,Oyster,DavidSW,sku-55223-44572,https://davidsw.com/shop/watch/rolex/rolex-126710blnr-gmt-master-ii-on-oyster-new-old-stock-2/,,dealer_listing_box_card,source_selected,new-old-stock independent watch; JS gallery direct image to pin
